관측시각 (KST),국내 지점번호,최고기온 (C),최저기온 (C),일 평균기온 (C),일 평균 풍속 (m/s),일강수량 (mm),최심 신적설 (cm),일 평균 상대습도 (%),일교차 (C)
20130101,속초,2.5,-6.7,-2,2.5,0,-9,52.3,9.2
20130101,철원,-2,-19.2,-9.2,0.8,4.8,6.8,80.3,17.2
20130101,동두천,1.9,-13.3,-5.8,1.3,4.5,-9,76.5,15.2
20130101,파주,0.1,-14.2,-6.6,1.4,3.7,-9,78.5,14.3
20130101,대관령,-5.3,-18.8,-9.9,4.2,4.8,5.8,76.9,13.5
20130101,춘천,-4.5,-15.6,-9.4,0.7,5.2,10.1,92.4,11.1
20130101,백령도,-0.2,-7.9,-3.6,5.4,5.9,5.4,74.8,7.7
20130101,북강릉,4.7,-6.3,-1.9,2.8,0,-9,50,11
20130101,강릉,3.8,-6.7,-1.9,2.9,-9,-9,50.6,10.5
20130101,동해,4.7,-6.7,-1.1,2.7,-9,-9,46.5,11.4
20130101,서울,0,-8.7,-4.7,3.2,3.1,4.9,73.5,8.7
20130101,인천,0.3,-7,-3.3,3,2.9,4.8,87.9,7.3
20130101,원주,-0.8,-13.8,-7,0.9,2,2.4,78.8,13
20130101,울릉도,2.4,-2.6,-0.1,4.3,0.9,1.2,56,5
20130101,수원,2,-8.9,-3.4,1.9,5.1,6.5,81.1,10.9
20130101,영월,-3.2,-15.2,-8.6,0.5,1.5,-9,87.1,12
20130101,충주,0.2,-13.8,-6.3,0.8,2.5,-9,84,14
20130101,서산,3.8,-8.7,-1.9,2.1,5.6,7.8,91.3,12.5
20130101,울진,3.4,-6.6,-2,3.3,0,-9,58,10
20130101,청주,1.7,-9.4,-3.8,0.7,3,3.5,86.3,11.1
20130101,대전,3.3,-9.4,-3.6,1.2,5.6,6.7,93.3,12.7
20130101,추풍령,0.9,-11.6,-5.8,1.5,2.8,-9,86.8,12.5
20130101,안동,-1.2,-13.5,-7,0.6,3.7,4.2,85.4,12.3
20130101,상주,-3,-12.7,-8.2,0.6,6.5,-9,87.8,9.7
20130101,포항,5.3,-6.5,-0.9,1.7,0,-9,62.1,11.8
20130101,군산,4.5,-7.9,-0.3,3.4,5.1,6.6,83.4,12.4
20130101,대구,3.7,-9.1,-2.6,1.3,0,-9,73.4,12.8
20130101,전주,3.8,-4.7,-0.2,2.4,2,3.3,78.5,8.5
20130101,울산,6.7,-7.3,0.3,1.9,-9,-9,60,14
20130101,창원,7.3,-4.8,1.2,1.4,-9,-9,59.5,12.1
20130101,광주,5.2,-5.1,-0.3,1.2,0.6,1.4,83.5,10.3
20130101,부산,8,-2.8,2.6,3.1,-9,-9,48.5,10.8
20130101,통영,6.8,-2.8,2.3,2,0,-9,65.8,9.6
20130101,목포,5.3,-3,2,4.1,0.2,-9,83.1,8.3
20130101,여수,5.9,-1.9,2,3.2,0,-9,75.3,7.8
20130101,흑산도,7.3,2.8,6.1,4.9,0,-9,52.9,4.5
