관측시각 (KST),국내 지점번호,최고기온 (C),최저기온 (C),일 평균기온 (C),일 평균 풍속 (m/s),일강수량 (mm),최심 신적설 (cm),일 평균 상대습도 (%),일교차 (C)
20150101,속초,-1.8,-7.9,-4.6,2.2,-9,-9,31.6,6.1
20150101,철원,-5.9,-11.6,-9.1,2.1,-9,-9,39.9,5.7
20150101,동두천,-2.8,-10.8,-8.1,3.4,-9,-9,41.6,8
20150101,파주,-4.2,-11.3,-8.3,3.2,-9,-9,40.6,7.1
20150101,대관령,-9.7,-15.6,-12.9,5.9,-9,-9,52.4,5.9
20150101,춘천,-3.7,-11.9,-7.8,1.9,-9,-9,45,8.2
20150101,백령도,-3.4,-7.8,-5.7,6.4,0.1,0.2,62.6,4.4
20150101,북강릉,-0.9,-8.6,-5,2.5,-9,-9,25,7.7
20150101,강릉,-1.5,-8.1,-5.2,4.6,-9,-9,27.9,6.6
20150101,동해,-0.6,-7.2,-4.1,4.5,-9,-9,24.1,6.6
20150101,서울,-4.3,-9.8,-7.7,4.6,-9,-9,41.4,5.5
20150101,인천,-5.1,-8.7,-7.1,6.7,-9,-9,57,3.6
20150101,원주,-3.7,-9.7,-7.2,2.4,-9,-9,44.5,6
20150101,울릉도,-2.1,-4.6,-3.7,4.9,36.6,27.4,79.8,2.5
20150101,수원,-3.4,-8.5,-6.4,3.6,-9,-9,42.8,5.1
20150101,영월,-4,-11.4,-7.8,3.1,-9,-9,40.6,7.4
20150101,충주,-4.2,-9.8,-7.4,3.7,-9,-9,41.3,5.6
20150101,서산,-3.6,-5.8,-4.5,4.6,0,-9,61.5,2.2
20150101,울진,1.2,-7,-4,4.1,-9,-9,26.8,8.2
20150101,청주,-3.2,-7.6,-5.6,2,0.1,0.1,51.1,4.4
20150101,대전,-2.4,-8.3,-5.6,2.5,0,0,62.1,5.9
20150101,추풍령,-4.5,-9.4,-7.2,6.7,1.6,-9,50.3,4.9
20150101,안동,-2.9,-9.5,-6.7,3.9,-9,-9,38.9,6.6
20150101,상주,-2.3,-7.7,-5.5,4.3,-9,-9,40.6,5.4
20150101,포항,-0.3,-5.9,-3.6,4.3,-9,-9,32.8,5.6
20150101,군산,-1.4,-5.3,-4,4.7,0.3,0.9,71.4,3.9
20150101,대구,-0.5,-5.9,-3.9,4,-9,-9,39.5,5.4
20150101,전주,-0.8,-6.1,-4,2.3,0,0,50.4,5.3
20150101,울산,0.4,-4.9,-2.7,5,-9,-9,30.8,5.3
20150101,창원,1.3,-4.4,-1.7,2.7,0,-9,28.8,5.7
20150101,광주,-1.4,-5.8,-3.7,1.9,5,8,77.8,4.4
20150101,부산,1.2,-4.9,-2.2,4.3,-9,-9,35.4,6.1
20150101,통영,2.1,-3.9,-1.4,4.5,-9,-9,35.3,6
20150101,목포,-0.4,-3.1,-1.4,8.8,2.2,1.7,88,2.7
20150101,여수,-0.1,-5,-2.6,6.4,0,-9,43.1,4.9
20150101,흑산도,2.5,-2,0,12.6,1.5,2.7,76.8,4.5
20150101,완도,0.3,-2.6,-0.9,6.2,3,3,68.5,2.9
20150101,고창,-1,-6.3,-4.5,4.1,12.7,20.2,93.5,5.3
20150101,순천,-1.4,-6.9,-4.4,4,0.5,0.8,67.5,5.5
20150101,고산,-2.6,-6.3,-5,7.7,2.5,5.3,87.8,3.7
,,,,,,,,,
20150101,제주,5.4,1.7,3.3,8.3,4.2,1.8,69.9,3.7
20150101,고산(제주),4.1,0.2,2.6,18.7,0.3,0.5,72.4,3.9
20150101,성산,3.8,-1,1.2,4.3,8.3,5.7,75,4.8
20150101,서귀포,4.1,0,2.8,3.1,4,0.7,63,4.1
20150101,진주,0.9,-8.1,-3.1,2.5,-9,-9,38.5,9
20150101,강화,-4.6,-9.3,-7.5,2.8,-9,-9,47,4.7
20150101,양평,-3.9,-9.1,-6.9,3.4,-9,-9,39.5,5.2
20150101,이천,-3.6,-9.9,-7.4,2.5,-9,-9,36.5,6.3
20150101,인제,-4.8,-11.6,-8.8,2.2,-9,-9,42,6.8
20150101,홍천,-4.7,-11.9,-8.4,2.1,-9,-9,38.6,7.2
20150101,태백,-5.9,-13.8,-10.6,2.2,-9,-9,39.1,7.9
20150101,정선군,-5.3,-11.3,-8.6,4.3,-9,-9,36.6,6
20150101,제천,-5.2,-14.1,-9.4,2.9,-9,-9,46.3,8.9
20150101,보은,-4.4,-9.2,-6.9,4,0,-9,48.8,4.8
20150101,천안,-3.6,-7.3,-5.7,4.3,0.3,1,61,3.7
20150101,보령,-2.3,-5.3,-3.9,3.5,0.2,0.5,62.9,3
20150101,부여,-2.3,-7.2,-4.9,2.6,0.2,-9,61.8,4.9
20150101,금산,-2.7,-8.4,-6.1,2.3,0,-9,62.4,5.7
20150101,부안,-1.3,-5.9,-4.3,1.9,4,-9,80,4.6
20150101,임실,-2.9,-8.2,-6.3,2.8,0.5,-9,57,5.3
20150101,정읍,-1.5,-6.2,-4.4,1.5,2.5,-9,82.3,4.7
20150101,남원,-2.2,-7.2,-5.2,2.2,0.2,-9,52.9,5
20150101,장수,-3.6,-8.6,-6.6,4.1,-9,-9,58.1,5
20150101,고창군,-0.4,-5.5,-4.1,2.6,8.5,-9,83.9,5.1
20150101,영광군,-0.8,-6.3,-2.9,5.6,4,-9,78.8,5.5
20150101,김해시,-0.2,-6.3,-3.6,4.7,-9,-9,24.8,6.1
20150101,순창군,-2.4,-6.5,-4.6,2.6,0.5,-9,71.8,4.1
20150101,북창원,0,-5.9,-3.1,3.3,-9,-9,37.3,5.9
20150101,양산시,1,-4.9,-2,3.5,-9,-9,33,5.9
20150101,보성군,0.7,-3.4,-1.7,6.8,0,-9,59.5,4.1
20150101,강진군,-0.8,-3.4,-2,4.5,1,-9,73.5,2.6
20150101,장흥,-0.8,-3.3,-2,4.6,1,-9,76.5,2.5
20150101,해남,0.7,-2.8,-0.8,2.9,2,-9,71.3,3.5
20150101,고흥,1.2,-3,-1.5,5.2,-9,-9,66.6,4.2
20150101,의령군,0.5,-8,-3.6,3.6,-9,-9,47.8,8.5
20150101,함양군,-0.8,-5.8,-3.7,4.1,0,-9,52.5,5
20150101,광양시,1,-5.7,-2.7,3.9,0,-9,60,6.7
20150101,진도군,0.8,-2.5,-0.8,5.5,4.5,-9,79.5,3.3
20150101,봉화,-4.4,-12.2,-8.9,2.7,-9,-9,37.3,7.8
20150101,영주,-4.6,-9.6,-7.3,6.8,-9,-9,39.3,5
20150101,문경,-3.6,-9.4,-6.8,3.6,-9,-9,36.8,5.8
20150101,청송군,-3.4,-9.6,-6.9,4.1,-9,-9,38.8,6.2
20150101,영덕,-1.9,-7.6,-5.1,6.4,-9,-9,26.8,5.7
20150101,의성,-2.5,-13.7,-7.2,2.9,-9,-9,43.5,11.2
20150101,구미,-1.4,-7.9,-4.7,3.7,1,-9,45.8,6.5
20150101,영천,-1.1,-7.2,-4.8,4.6,0,-9,35.9,6.1
20150101,경주시,-1.1,-6.5,-4.4,5.7,-9,-9,35.1,5.4
20150101,거창,-1.8,-8.4,-5.4,3.9,0,-9,40.4,6.6
20150101,합천,0.2,-7.2,-3.4,2.4,-9,-9,34.3,7.4
20150101,밀양,0.8,-7.8,-3.5,3.1,-9,-9,38,8.6
20150101,산청,-1,-5.4,-3.4,5.9,0,-9,35.1,4.4
20150101,거제,1.5,-3.7,-1.3,4,-9,-9,31.4,5.2
20150101,남해,1,-4.1,-1.8,2.5,-9,-9,42.6,5.1
20150102,속초,0.9,-5.4,-2.9,3.4,-9,-9,30.4,6.3
20150102,철원,-3,-13.6,-8.7,1.2,-9,-9,50.9,10.6
20150102,동두천,-0.6,-11.8,-7,2.4,-9,-9,49.4,11.2
20150102,파주,-2,-13.3,-7.9,1.8,-9,-9,51.8,11.3
20150102,대관령,-6,-14.7,-10.6,5.3,-9,-9,53.3,8.7
20150102,춘천,-0.9,-12.1,-7.7,1.3,-9,-9,60.3,11.2
20150102,백령도,-2.2,-6,-3.4,4,10.2,10.3,56.3,3.8
20150102,북강릉,0.2,-6.7,-3.2,3.5,-9,-9,25.1,6.9
20150102,강릉,1.1,-6.2,-2.9,3.8,-9,-9,26,7.3
20150102,동해,1.6,-6.2,-2,4.2,-9,-9,24.1,7.8
20150102,서울,-1.9,-9,-6,3.2,-9,-9,45.9,7.1
20150102,인천,-2.5,-7.8,-5.3,3.9,0,-9,59.8,5.3
20150102,원주,-0.5,-10.1,-6,1.4,-9,-9,53.5,9.6
20150102,울릉도,-1.1,-3.2,-2,4,4.9,3.2,66.8,2.1
20150102,수원,-0.5,-8.3,-4.6,2.2,-9,-9,45.4,7.8
20150102,영월,-1,-13.7,-7.7,1.6,-9,-9,54.1,12.7
20150102,충주,-1,-10.6,-6.1,2.2,-9,-9,48.5,9.6
20150102,서산,-0.6,-7.7,-4.3,2,0.1,0.5,69.3,7.1
20150102,울진,2.8,-5.7,-2.4,4.1,-9,-9,30.1,8.5
20150102,청주,-0.4,-6.7,-4.2,1.3,0,0.3,53.6,6.3
20150102,대전,0.3,-7.3,-4.7,1.3,0,-9,67,7.6
20150102,추풍령,-2.2,-7.6,-5.4,5,0,-9,55.5,5.4
20150102,안동,-0.3,-9.1,-4.6,2.9,0,-9,46.4,8.8
20150102,상주,-0.1,-6.4,-3.9,3.2,-9,-9,47.8,6.3
