관측시각 (KST),국내 지점번호,최고기온 (C),최저기온 (C),일 평균기온 (C),일 평균 풍속 (m/s),일강수량 (mm),최심 신적설 (cm),일 평균 상대습도 (%),일교차 (C)
20210101,속초,1.2,-7.7,-2.9,2.2,-9,-9,27.6,8.9
20210101,북춘천,0.4,-15.3,-6.8,1.1,-9,-9,55.8,15.7
20210101,철원,-1,-15.9,-7.8,1,-9,-9,58.8,14.9
20210101,동두천,0.8,-13.8,-6.3,1.1,-9,-9,67.5,14.6
20210101,파주,0.2,-14.9,-7.4,0.8,-9,-9,74.4,15.1
20210101,대관령,-4.5,-14.4,-9.5,6.4,-9,-9,58.1,9.9
20210101,춘천,1.2,-14.6,-5.6,1.5,-9,-9,54.6,15.8
20210101,백령도,1.1,-2.9,-1.1,3.6,0.6,1.5,65.9,4
20210101,북강릉,2.7,-9.5,-2.6,1.9,-9,-9,31.4,12.2
20210101,강릉,4,-7.5,-2,2.7,-9,-9,38.5,11.5
20210101,동해,3.7,-5.4,-1.1,2.6,-9,-9,29.8,9.1
20210101,서울,1.6,-9.8,-4.2,2,-9,-9,64,11.4
20210101,인천,1.3,-8.2,-3.4,2.3,0,-9,56.1,9.5
20210101,원주,-0.3,-12,-6.1,0.6,-9,-9,71.3,11.7
20210101,울릉도,0.8,-3.4,-1.2,3.3,0,0,58.6,4.2
20210101,수원,0,-10.4,-4.6,1.3,0,-9,83.3,10.4
20210101,영월,1.2,-12.6,-5.3,1,-9,-9,67.8,13.8
20210101,충주,-0.5,-12.9,-6,1,-9,-9,75,12.4
20210101,서산,-1,-10.7,-4.5,0.5,0,-9,91.6,9.7
20210101,울진,4.5,-8.7,-1.7,2.5,-9,-9,42,13.2
20210101,청주,-1.9,-10.2,-5.2,0.4,0.6,1.1,83.5,8.3
20210101,대전,-1.2,-9.7,-4.6,0.5,2.1,4.3,88.8,8.5
20210101,추풍령,-1.8,-9,-4.4,2.7,2,-9,77.3,7.2
20210101,안동,0.5,-9.2,-4,2.2,0,-9,61.5,9.7
20210101,상주,-1,-8.5,-4.2,1.6,0.5,-9,79.8,7.5
20210101,포항,2.7,-6.2,-1.4,2.3,0,-9,59.3,8.9
20210101,군산,2.9,-8.4,-2.3,1.5,0.6,-9,81.9,11.3
20210101,대구,2.6,-5.7,-1.8,1.9,0,-9,66.4,8.3
20210101,전주,3.4,-7.5,-1.6,1.6,0,0,70.8,10.9
20210101,울산,4,-7.2,-0.8,2,-9,-9,55.8,11.2
20210101,창원,3.9,-6.6,-1.3,1.3,-9,-9,54,10.5
20210101,광주,3.5,-5,-0.6,0.9,0,0.3,83.1,8.5
20210101,부산,4.6,-5,0.3,2.6,-9,-9,51.8,9.6
20210101,통영,4.8,-4.1,0.8,2.2,-9,-9,58.9,8.9
20210101,목포,3.8,-2.3,1.3,3,0,0.3,68.5,6.1
20210101,여수,4.8,-2.8,0.8,3.7,0,-9,61,7.6
20210101,흑산도,6,1.5,3.6,4,-9,-9,58.9,4.5
20210101,완도,5.5,-1.4,2.1,1.9,0,-9,66.9,6.9
20210101,고창,3.7,-7.5,-1.5,2.3,0.6,-9,80.9,11.2
20210101,순천,3.9,-8,-2.1,1.9,-9,-9,78.4,11.9
20210101,홍성,-0.8,-11.6,-4.8,0.3,1,1.7,93.5,10.8
20210101,제주,7.2,4,5.5,3.8,0,-9,54.4,3.2
20210101,고산(제주),7.2,4.1,5.6,10.2,0,-9,63.9,3.1
20210101,성산,6.6,0.6,3.6,2.1,1.3,-9,63.9,6
20210101,서귀포,6.3,2.3,4.7,1.4,-9,-9,61.4,4
20210101,진주,4.5,-8.4,-1.9,1.2,-9,-9,65.3,12.9
20210101,강화,0.8,-11.8,-4.9,1.3,-9,-9,68.6,12.6
20210101,양평,-0.4,-12.6,-6.3,0.7,-9,-9,76.1,12.2
20210101,이천,0.2,-12.7,-5.7,0.9,-9,-9,80.4,12.9
20210101,인제,-0.5,-12.8,-5.6,2.2,-9,-9,48.6,12.3
20210101,홍천,-0.2,-14.6,-7.1,0.9,-9,-9,67.1,14.4
20210101,태백,-2.4,-10.8,-6.2,1.5,0,-9,50.4,8.4
20210101,정선군,-0.6,-10.9,-5.5,1.9,-9,-9,49.5,10.3
20210101,제천,-0.8,-14.1,-6.8,1.3,0,-9,74.6,13.3
20210101,보은,-1.7,-14.1,-7.1,0.3,1.1,-9,89.5,12.4
20210101,천안,-2.1,-13.9,-6.6,0.3,0,-9,93,11.8
20210101,보령,0.9,-8.5,-2.8,0.6,3.2,-9,90.4,9.4
20210101,부여,-2.2,-11.5,-6.2,0.3,1.6,-9,92.9,9.3
20210101,금산,0.8,-12.3,-5.2,0.5,0.8,-9,87.4,13.1
20210101,세종,-2.2,-10.8,-5.5,0.6,1.1,-9,86.8,8.6
20210101,부안,4.1,-8.6,-1.6,1,0.1,-9,82.6,12.7
20210101,임실,0.8,-13.2,-5.8,0.6,0.1,-9,86.9,14
