관측시각 (KST),국내 지점번호,최고기온 (C),최저기온 (C),일 평균기온 (C),일 평균 풍속 (m/s),일강수량 (mm),최심 신적설 (cm),일 평균 상대습도 (%),일교차 (C)
20160101,속초,7.6,-2.3,3.6,2.3,-9,-9,44.9,9.9
20160101,철원,3.3,-9,-2,1.1,-9,-9,79.4,12.3
20160101,동두천,6.5,-6.4,-0.2,0.9,-9,-9,74,12.9
20160101,파주,5,-6.7,-0.1,1.1,-9,-9,74.3,11.7
20160101,대관령,0.4,-8.3,-3.2,5.2,-9,-9,68.9,8.7
20160101,춘천,2.3,-5.8,-1.7,0.7,-9,-9,90.8,8.1
20160101,백령도,6.7,2,5,7.2,-9,-9,68.5,4.7
20160101,북강릉,9.8,-0.8,4.6,2.3,-9,-9,42.9,10.6
20160101,강릉,8.9,2.1,5.1,4.8,-9,-9,33,6.8
20160101,동해,11.6,0.5,6.4,1.7,-9,-9,35.9,11.1
20160101,서울,4,-3.3,1.2,1.6,-9,-9,73,7.3
20160101,인천,5.7,-0.4,3.1,2.4,-9,-9,83.9,6.1
20160101,원주,3.8,-4.4,0.1,0.4,0,-9,78.8,8.2
20160101,울릉도,9,2.2,5.4,3.1,-9,-9,54.4,6.8
20160101,수원,5.7,-4.2,1.6,0.8,-9,-9,80.1,9.9
20160101,영월,4.3,-6.1,-1.1,0.6,-9,-9,83,10.4
20160101,충주,4.1,-5.9,-1,0.3,-9,-9,79.4,10
20160101,서산,7.5,-4.4,2.6,1.6,-9,-9,86.3,11.9
20160101,울진,11,0.1,5.1,3.4,-9,-9,38.5,10.9
20160101,청주,6.2,-4.2,1.5,0.8,-9,-9,68.1,10.4
20160101,대전,7.7,-4.2,1.6,1.1,-9,-9,77.4,11.9
20160101,추풍령,5.1,-5.7,0.4,2.5,-9,-9,70,10.8
20160101,안동,6.2,-7.5,-0.9,1.2,-9,-9,70.9,13.7
20160101,상주,6.5,-4.2,2.2,1.7,-9,-9,62.5,10.7
20160101,포항,9,0.2,4.4,3.3,-9,-9,52.9,8.8
20160101,군산,7.7,-2.4,2.8,1.7,-9,-9,84,10.1
20160101,대구,8,-4,1.7,1,-9,-9,70.5,12
20160101,전주,7.7,-2,2.8,1.5,-9,-9,74.4,9.7
20160101,울산,12,-1.6,4,1.3,-9,-9,53.3,13.6
20160101,창원,7.9,-2,2.5,1.5,-9,-9,59.1,9.9
20160101,광주,8.1,-1.5,3.2,1,-9,-9,73.1,9.6
20160101,부산,10.9,1.1,5.3,4.3,-9,-9,52.1,9.8
20160101,통영,8.8,-0.8,4.4,1.8,-9,-9,62.1,9.6
20160101,목포,8.2,0.6,4.6,1.6,-9,-9,73.8,7.6
20160101,여수,8.7,0.6,4.5,3.4,-9,-9,54.5,8.1
20160101,흑산도,11.3,3.8,6.4,2.4,-9,-9,64.3,7.5
20160101,완도,8.8,-0.4,4.6,1.3,-9,-9,80.1,9.2
20160101,고창,8.2,-1.5,3.3,1.3,-9,-9,84.1,9.7
20160101,순천,8.3,-4.6,0.4,1.4,-9,-9,73.8,12.9
20160101,고산,6.8,-0.5,2.1,3.3,-9,-9,76.9,7.3
20160101,홍성,7,-3.6,2.3,1,-9,-9,80.8,10.6
20160101,제주,10.8,5.2,8.2,2.2,-9,-9,60.1,5.6
20160101,고산(제주),11.4,5.3,8.4,4.1,-9,-9,61.4,6.1
20160101,성산,11.6,3.4,7.1,2.3,-9,-9,67.9,8.2
20160101,서귀포,11.7,6.1,8.9,1.2,-9,-9,61.8,5.6
20160101,진주,8.7,-6.7,-0.1,0.6,-9,-9,69.4,15.4
20160101,강화,6,-5.4,1.3,1,-9,-9,74.1,11.4
20160101,양평,2.8,-5.5,-1.1,0.7,-9,-9,87.1,8.3
20160101,이천,2.7,-6.9,-1.7,0.5,-9,-9,80.9,9.6
20160101,인제,2.3,-7,-1.1,1.9,-9,-9,75.1,9.3
20160101,홍천,3.2,-5.9,-1.4,0.4,-9,-9,80.8,9.1
20160101,태백,4.4,-6.7,-1.1,2.5,-9,-9,48.5,11.1
20160101,정선군,2.2,-6.8,-1.3,1.8,-9,-9,68.5,9
20160101,제천,3.1,-8.8,-2.6,0.7,-9,-9,83.8,11.9
20160101,보은,6.7,-7.7,-1.5,0.6,-9,-9,79,14.4
20160101,천안,6.8,-4.6,1.8,1.4,-9,-9,76.8,11.4
20160101,보령,7.6,-1.1,4,1.8,-9,-9,76.6,8.7
20160101,부여,7.4,-5.3,1.3,0.9,-9,-9,81.5,12.7
20160101,금산,6.4,-5.5,-0.7,0.6,-9,-9,83.5,11.9
20160101,부안,8.6,-1.1,3.2,1.3,-9,-9,74.9,9.7
20160101,임실,6.4,-7.3,-1.2,0.4,-9,-9,81.9,13.7
20160101,정읍,8.6,-1.7,3.1,1.3,-9,-9,80.1,10.3
20160101,남원,6.8,-5,0,1.3,-9,-9,73.3,11.8
20160101,장수,5.9,-8.1,-2.8,0.7,-9,-9,80.9,14
20160101,고창군,8.3,-2.2,3.1,0.9,-9,-9,76.9,10.5
20160101,영광군,7.5,-2.1,2.8,1.3,-9,-9,77,9.6
20160101,김해시,10.3,-0.7,4,2.4,-9,-9,47.9,11
20160101,순창군,7,-6.1,-0.6,0.9,-9,-9,87.1,13.1
20160101,북창원,9.1,-2.7,2.6,0.9,-9,-9,64,11.8
20160101,양산시,9.7,-2.9,3,1.9,-9,-9,55,12.6
20160101,보성군,9.1,-2.9,2.7,2.8,-9,-9,68.9,12
20160101,강진군,9.3,-3.9,2,1.4,-9,-9,79.3,13.2
20160101,장흥,8.5,-5.6,1.2,0.7,-9,-9,80.4,14.1
20160101,해남,8.6,-5.7,1.2,0.7,-9,-9,82.1,14.3
20160101,고흥,8.4,-4.4,1.7,1.1,-9,-9,81.5,12.8
20160101,의령군,9.5,-7.2,-0.3,0.7,-9,-9,70.6,16.7
20160101,함양군,8.4,-6.9,0.9,1.1,-9,-9,76.3,15.3
20160101,광양시,10.2,-0.6,3.7,1.7,-9,-9,70.8,10.8
20160101,진도군,8.7,-1.4,3.6,1,-9,-9,84,10.1
20160101,봉화,4.9,-10.4,-2.7,1.4,-9,-9,67.3,15.3
20160101,영주,4.1,-8,-1,3.7,-9,-9,71.9,12.1
20160101,문경,5.5,-4.5,0.4,1.6,-9,-9,60.9,10
20160101,청송군,6.5,-9.8,-2.4,1,-9,-9,67.5,16.3
20160101,영덕,8.2,-2.1,3.5,3.6,-9,-9,47.6,10.3
20160101,의성,7.6,-10.1,-2.4,0.8,-9,-9,74.3,17.7
20160101,구미,7.6,-5.4,0.4,0.8,-9,-9,79.3,13
20160101,영천,8.8,-6.6,1.3,1.8,-9,-9,63.5,15.4
20160101,경주시,9.3,-5.2,1.8,2,-9,-9,62.3,14.5
20160101,거창,8.3,-8.2,-1.1,0.6,-9,-9,77.6,16.5
20160101,합천,9.6,-7.4,-0.7,0.5,-9,-9,70.9,17
20160101,밀양,9.3,-5.8,0.9,0.5,-9,-9,75.6,15.1
20160101,산청,8.7,-5.4,0.5,0.7,-9,-9,61.8,14.1
20160101,거제,9.3,-1.6,4.6,1.6,-9,-9,56,10.9
20160101,남해,9.2,-1.4,3.5,0.9,-9,-9,61.3,10.6
20160102,속초,11.5,5,8.4,3.1,-9,-9,50.4,6.5
20160102,철원,8.2,-0.2,4.5,1.8,-9,-9,76.5,8.4
20160102,동두천,10.1,1.9,5.4,1.3,-9,-9,70.3,8.2
20160102,파주,11.3,1.4,5.6,2.1,-9,-9,75.1,9.9
20160102,대관령,4.1,-1.5,2.1,8.5,-9,-9,72.4,5.6
20160102,춘천,7,0,2.7,0.5,-9,-9,85,7
20160102,백령도,8.4,6,7,5.3,-9,-9,82.9,2.4
20160102,북강릉,11.6,3.6,8.1,2.4,-9,-9,54.3,8
20160102,강릉,11.2,5.5,9.1,4.9,-9,-9,43.8,5.7
20160102,동해,14.1,5.3,9.8,1.6,-9,-9,46.3,8.8
20160102,서울,9.5,1,5.7,2,-9,-9,76.9,8.5
20160102,인천,11.1,4,7.4,3.3,-9,-9,93.1,7.1
20160102,원주,9.3,1.2,4.2,0.4,-9,-9,76.9,8.1
20160102,울릉도,10.5,5.5,7.8,3.4,-9,-9,56.1,5
20160102,수원,10.3,1.2,5.8,1,-9,-9,83.1,9.1
20160102,영월,9.2,0.2,4.5,0.9,-9,-9,77,9
20160102,충주,9.9,0.4,3.5,0.6,-9,-9,74.9,9.5
20160102,서산,10.6,3.6,6.5,2.8,-9,-9,91.4,7
20160102,울진,14.7,4.2,8.4,3.4,-9,-9,49.1,10.5
20160102,청주,11.5,1.4,6,0.9,-9,-9,65.5,10.1
20160102,대전,12.3,2,6.6,1.2,-9,-9,76.5,10.3
20160102,추풍령,12,-1,4.4,2.1,-9,-9,65.4,13
20160102,안동,11,-3,2.9,0.9,-9,-9,68.5,14
20160102,상주,11.5,1.5,5.3,0.9,-9,-9,62.5,10
20160102,포항,12.6,2.4,6.6,2.9,-9,-9,54.1,10.2
20160102,군산,12.7,3.3,8,3,-9,-9,83.4,9.4
20160102,대구,9.9,-2.7,3,0.7,-9,-9,74.8,12.6
20160102,전주,12.9,2.7,7.6,1.9,-9,-9,73.3,10.2
20160102,울산,14.2,0.3,5.6,0.9,-9,-9,61,13.9
20160102,창원,9.4,-0.1,4.3,0.7,-9,-9,67.6,9.5
20160102,광주,12.7,1.3,6.5,0.6,-9,-9,78.6,11.4
20160102,부산,12.2,4.6,8.1,4,-9,-9,62.9,7.6
20160102,통영,12.4,5,7.7,1.3,-9,-9,76.5,7.4
20160102,목포,12.3,2.8,7.4,2.4,-9,-9,81.3,9.5
20160102,여수,11.3,3.9,7.1,2.1,-9,-9,63.8,7.4
20160102,흑산도,13.8,7.7,10,2.9,-9,-9,88.4,6.1
20160102,완도,11,2.5,6.3,0.8,-9,-9,93,8.5
20160102,고창,12.9,0.6,6.9,1.9,-9,-9,82.9,12.3
20160102,순천,12.3,-3.6,3.5,0.6,-9,-9,80.1,15.9
20160102,고산,10.1,3,7,3.2,-9,-9,86.3,7.1
20160102,홍성,11.6,0.6,6.7,1.9,-9,-9,86.9,11
20160102,제주,16.8,7.8,12.5,2.2,0,-9,62.6,9
20160102,고산(제주),15.1,9.5,12.2,3.2,-9,-9,69.9,5.6
20160102,성산,15.2,6.1,10.8,1.8,-9,-9,70,9.1
20160102,서귀포,14.7,9.2,12,1,-9,-9,66,5.5
20160102,진주,10.8,-3.6,1.8,0.5,-9,-9,76.3,14.4
20160102,강화,10.5,3.5,6.9,2.2,-9,-9,78.4,7
20160102,양평,8.8,0,3.3,0.7,-9,-9,80.9,8.8
20160102,이천,10.2,-1.5,2.9,0.5,-9,-9,76.1,11.7
20160102,인제,7.8,2.1,4.9,2.9,-9,-9,71.5,5.7
20160102,홍천,8.6,-0.5,2.8,0.5,-9,-9,79.3,9.1
20160102,태백,7,-1.8,2.8,1.9,-9,-9,60.6,8.8
20160102,정선군,8.1,0.4,3.4,2.2,-9,-9,65.8,7.7
20160102,제천,8.3,-0.5,2,0.7,-9,-9,80.4,8.8
20160102,보은,13.1,-1.7,3.7,0.7,-9,-9,75.4,14.8
20160102,천안,12.9,1.9,6.1,2,-9,-9,74.8,11
20160102,보령,12.4,1.4,7.9,2.1,-9,-9,85.6,11
20160102,부여,12.2,-1,4.9,0.7,-9,-9,87.4,13.2
20160102,금산,12.8,-1,4.8,1.1,-9,-9,75.3,13.8
20160102,부안,12.6,1.6,6.8,1.7,-9,-9,76.3,11
20160102,임실,10.8,-3.8,2.2,0.9,-9,-9,83.8,14.6
20160102,정읍,13.4,0.3,7,1.2,-9,-9,84.8,13.1
20160102,남원,11.7,-2.5,3.5,0.9,-9,-9,77.8,14.2
20160102,장수,10.2,-3.1,2.8,1.5,-9,-9,80.9,13.3
20160102,고창군,13.6,1.5,7.1,1,-9,-9,78.9,12.1
20160102,영광군,12.8,0.3,6.1,1.2,-9,-9,79.3,12.5
20160102,김해시,11.3,1.2,5.7,0.9,-9,-9,57.9,10.1
20160102,순창군,10.3,-3.4,2.7,0.7,-9,-9,89,13.7
20160102,북창원,9.8,-0.9,4.1,0.7,-9,-9,73.8,10.7
20160102,양산시,11.6,-0.1,4.3,1.6,-9,-9,67,11.7
20160102,보성군,10.5,-2.7,3.6,1,-9,-9,79.3,13.2
20160102,강진군,11.6,-1.4,4.3,0.9,-9,-9,86.4,13
20160102,장흥,11.9,-2.7,3.8,0.8,-9,-9,85.4,14.6
20160102,해남,13.7,-1.8,5.1,0.2,-9,-9,86.8,15.5
20160102,고흥,11.8,-2.3,3.9,0.4,-9,-9,88.9,14.1
20160102,의령군,11.4,-3.6,2,0.5,-9,-9,77.8,15
20160102,함양군,12.6,-2,4.8,1.7,-9,-9,77.3,14.6
20160102,광양시,12.3,2.1,7.3,0.9,-9,-9,77.8,10.2
20160102,진도군,13.7,1.9,7.5,0.8,-9,-9,87.9,11.8
20160102,봉화,9.9,-4.9,0.8,1.3,-9,-9,71.8,14.8
20160102,영주,10.8,-1.9,2.4,2.2,-9,-9,75,12.7
20160102,문경,11.9,-1,4.3,1.2,-9,-9,62.3,12.9
