지역,Year,PM2.5(μg/m³),PM10(μg/m³),아황산가스(ppm),오존(ppm),이산화질소(ppm),일산화질소(ppm)
수원,2017,25.8,48.8,0.004,0.0267,0.0326,0.6
수원,2018,23.7,41.0,0.0034,0.0234,0.0298,0.5833
수원,2019,25.2,43.2,0.0032,0.0254,0.0288,0.6
수원,2020,20.6,38.2,0.0027,0.0259,0.0247,0.5417
수원,2021,19.2,42.8,0.0025,0.0288,0.0242,0.5167
수원,2022,17.4,35.2,0.0021,0.0288,0.0223,0.45
수원,2023,20.0,40.7,0.002,0.0302,0.0198,0.4825
수원,2024,21.2,40.3,0.0018,0.0346,0.0192,0.435
울산,2012,,45.6,0.0074,0.0265,0.0229,0.5333
울산,2013,,47.1,0.0084,0.0281,0.0237,0.5083
울산,2014,,46.2,0.0076,0.0278,0.0232,0.4917
울산,2015,24.7,48.1,0.0075,0.0277,0.0225,0.525
울산,2016,23.2,43.2,0.0066,0.0274,0.0223,0.4917
울산,2017,24.8,42.7,0.0058,0.03,0.0216,0.5667
울산,2018,23.2,40.1,0.0057,0.0284,0.0201,0.525
울산,2019,20.3,36.8,0.0052,0.031,0.02,0.4917
울산,2020,17.0,30.2,0.0039,0.0318,0.0177,0.475
울산,2021,15.2,30.0,0.0033,0.033,0.0173,0.4167
울산,2022,15.8,28.8,0.0033,0.0343,0.0165,0.4167
울산,2023,17.8,34.3,0.0034,0.0332,0.0162,0.4667
울산,2024,17.7,36.2,0.0034,0.0374,0.0169,0.4383
인천,2012,,47.3,0.0072,0.024,0.027,0.5667
인천,2013,,49.1,0.0072,0.0249,0.0278,0.625
인천,2014,,48.8,0.0071,0.0258,0.0282,0.5917
인천,2015,29.2,56.2,0.0062,0.0251,0.0262,0.6083
인천,2016,26.4,49.6,0.0062,0.0255,0.0247,0.575
인천,2017,25.2,47.1,0.0054,0.0273,0.0238,0.5667
인천,2018,22.2,39.5,0.0048,0.0251,0.025,0.525
인천,2019,23.2,42.7,0.0048,0.0287,0.0242,0.5417
인천,2020,18.5,33.2,0.0038,0.0294,0.0203,0.4917
인천,2021,20.5,38.9,0.0033,0.0312,0.0208,0.4917
인천,2022,19.0,33.4,0.0034,0.0314,0.0186,0.4583
인천,2023,21.5,40.4,0.0032,0.0333,0.0184,0.4692
인천,2024,21.7,39.3,0.0032,0.0368,0.0185,0.4667
