지역,Year,Quarter,PM2.5(μg/m³),PM10(μg/m³),아황산가스(ppm),오존(ppm),이산화질소(ppm),일산화질소(ppm)
광주,2019,2,22.3,44.3,0.0023,0.041,0.0167,0.4
광주,2019,3,16.3,29.0,0.0027,0.029,0.0113,0.3667
광주,2019,4,20.0,37.0,0.003,0.0217,0.0217,0.5
광주,2020,1,22.0,34.3,0.003,0.0273,0.018,0.5
광주,2020,2,17.7,33.3,0.0023,0.0413,0.0107,0.3667
광주,2020,3,12.0,19.3,0.0027,0.026,0.0083,0.3
광주,2020,4,20.3,32.0,0.003,0.0223,0.019,0.4667
광주,2021,1,24.7,47.3,0.0027,0.0283,0.0187,0.5
광주,2021,2,18.7,39.3,0.003,0.0467,0.0103,0.4333
광주,2021,3,9.3,16.0,0.003,0.0327,0.008,0.4667
광주,2021,4,19.7,31.0,0.003,0.0257,0.0183,0.5667
광주,2022,1,22.7,34.7,0.003,0.0327,0.0177,0.4667
광주,2022,2,15.0,27.7,0.0027,0.044,0.0103,0.3333
광주,2022,3,11.0,18.3,0.003,0.032,0.008,0.3
광주,2022,4,18.3,30.7,0.003,0.025,0.019,0.4667
광주,2023,1,24.7,49.7,0.0027,0.0303,0.0196,0.51
광주,2023,2,15.7,37.3,0.0026,0.0444,0.0108,0.38
광주,2023,3,10.7,18.0,0.0025,0.0313,0.0082,0.3367
광주,2023,4,16.3,28.0,0.0027,0.0273,0.0164,0.45
광주,2024,1,17.7,31.7,0.0026,0.0321,0.017,0.49
광주,2024,2,13.7,30.3,0.0027,0.0437,0.0114,0.3633
대구,2012,1,,49.3,0.006,0.0227,0.026,0.5333
대구,2012,2,,45.3,0.004,0.0383,0.0173,0.3667
대구,2012,3,,30.7,0.003,0.0263,0.0137,0.3667
대구,2012,4,,44.7,0.005,0.0153,0.0267,0.5667
대구,2013,1,,58.3,0.0067,0.021,0.0303,0.6
대구,2013,2,,47.0,0.0037,0.0387,0.019,0.4
대구,2013,3,,34.0,0.0027,0.026,0.0147,0.4
대구,2013,4,,41.7,0.004,0.0153,0.028,0.5
대구,2014,1,,53.3,0.0057,0.021,0.0313,0.5667
대구,2014,2,,51.7,0.0033,0.041,0.0213,0.3667
대구,2014,3,,32.7,0.0027,0.0277,0.0157,0.3
대구,2014,4,,43.0,0.004,0.0147,0.029,0.4333
대구,2015,1,31.7,60.3,0.0047,0.0197,0.028,0.5
대구,2015,2,25.0,45.7,0.003,0.04,0.0177,0.4
대구,2015,3,17.5,33.7,0.0027,0.0287,0.0157,0.3
대구,2015,4,26.0,42.7,0.0033,0.016,0.0233,0.4667
대구,2016,1,28.0,48.7,0.004,0.0217,0.0243,0.5
대구,2016,2,25.0,49.0,0.0037,0.038,0.017,0.3333
대구,2016,3,18.7,30.0,0.003,0.0287,0.0133,0.3
대구,2016,4,26.3,41.0,0.0035,0.015,0.0235,0.5
대구,2017,1,27.0,46.0,0.0043,0.0253,0.0257,0.5333
대구,2017,2,21.7,47.0,0.003,0.0437,0.017,0.4
대구,2017,3,15.5,29.0,0.002,0.0295,0.0125,0.3
대구,2017,4,29.0,49.0,0.004,0.0155,0.028,0.55
대구,2018,1,28.0,46.0,0.0037,0.0233,0.0247,0.5
대구,2018,2,22.3,44.0,0.0023,0.0407,0.0143,0.3333
대구,2018,3,14.0,24.3,0.002,0.027,0.0113,0.3
대구,2018,4,24.7,45.3,0.003,0.015,0.0277,0.5333
대구,2019,1,33.0,55.0,0.0033,0.0257,0.0253,0.6
대구,2019,2,20.7,39.3,0.0027,0.0427,0.0153,0.4
대구,2019,3,15.0,25.0,0.002,0.0283,0.012,0.3
대구,2019,4,21.3,36.7,0.003,0.0177,0.0243,0.5333
대구,2020,1,24.0,37.7,0.003,0.0237,0.0223,0.5667
대구,2020,2,19.3,37.3,0.002,0.0417,0.012,0.4
대구,2020,3,15.0,24.0,0.002,0.026,0.011,0.3333
대구,2020,4,21.7,37.0,0.0023,0.02,0.0223,0.4667
대구,2021,1,22.7,46.7,0.0023,0.0257,0.021,0.4667
대구,2021,2,18.3,39.3,0.002,0.0427,0.0117,0.3667
대구,2021,3,10.0,19.3,0.0013,0.0303,0.0097,0.3
대구,2021,4,19.7,34.7,0.002,0.02,0.0217,0.4
대구,2022,1,22.3,38.0,0.002,0.0297,0.0203,0.4333
대구,2022,2,15.3,30.3,0.0017,0.0467,0.0107,0.3
대구,2022,3,10.0,19.3,0.0017,0.0307,0.009,0.3
대구,2022,4,18.3,33.3,0.0017,0.0217,0.0207,0.3667
대구,2023,1,25.0,48.7,0.0024,0.0273,0.0227,0.4333
대구,2023,2,17.0,42.0,0.0018,0.0437,0.0102,0.3033
대구,2023,3,11.0,20.0,0.0017,0.0293,0.0087,0.3
대구,2023,4,17.7,31.3,0.002,0.0237,0.0191,0.4033
대구,2024,1,19.0,33.7,0.002,0.029,0.0174,0.4367
대구,2024,2,16.0,36.3,0.0021,0.0465,0.0113,0.3867
대전,2012,1,,47.3,0.0057,0.02,0.0213,0.6
대전,2012,2,,46.3,0.0027,0.0373,0.018,0.3667
대전,2012,3,,24.7,0.0017,0.025,0.0153,0.3333
대전,2012,4,,38.3,0.0043,0.0147,0.029,0.5
대전,2013,1,,53.0,0.0057,0.0203,0.0287,0.5667
