지역,Year,Quarter,PM2.5(μg/m³),PM10(μg/m³),아황산가스(ppm),오존(ppm),이산화질소(ppm),일산화질소(ppm)
인천,2012,1,,58.0,0.0093,0.021,0.0297,0.6667
인천,2012,2,,55.3,0.0077,0.0337,0.0283,0.4667
인천,2012,3,,31.0,0.005,0.0243,0.021,0.4333
인천,2012,4,,45.0,0.007,0.017,0.029,0.7
인천,2013,1,,57.0,0.0087,0.0203,0.0313,0.7667
인천,2013,2,,55.7,0.0073,0.035,0.028,0.5333
인천,2013,3,,38.0,0.0057,0.0273,0.0197,0.5
인천,2013,4,,45.7,0.0073,0.017,0.032,0.7
인천,2014,1,,58.0,0.0087,0.0217,0.0337,0.7333
인천,2014,2,,56.3,0.0073,0.0373,0.0267,0.5
인천,2014,3,,37.0,0.0057,0.028,0.022,0.5
인천,2014,4,,44.0,0.0067,0.0163,0.0307,0.6333
인천,2015,1,31.7,70.0,0.0073,0.0197,0.0307,0.7333
인천,2015,2,28.0,49.3,0.0063,0.0347,0.026,0.5333
인천,2015,3,23.7,,0.0053,0.0293,0.019,0.4667
인천,2015,4,33.3,49.3,0.006,0.0167,0.029,0.7
인천,2016,1,29.7,53.3,0.007,0.0213,0.0277,0.6333
인천,2016,2,28.3,59.3,0.0067,0.0363,0.0257,0.5
인천,2016,3,21.3,37.7,0.0053,0.0277,0.019,0.4667
인천,2016,4,26.3,48.0,0.0057,0.0167,0.0267,0.7
인천,2017,1,31.3,53.7,0.0063,0.0267,0.0277,0.7333
인천,2017,2,26.0,54.3,0.0057,0.0367,0.0217,0.5
인천,2017,3,18.5,37.5,0.0047,0.0277,0.0197,0.4667
인천,2017,4,22.7,39.7,0.005,0.0183,0.0263,0.5667
인천,2018,1,29.3,48.7,0.0057,0.022,0.0283,0.6333
인천,2018,2,22.3,40.0,0.0047,0.0333,0.024,0.4667
인천,2018,3,14.3,25.0,0.004,0.027,0.0173,0.4
인천,2018,4,23.0,44.3,0.0047,0.018,0.0303,0.6
인천,2019,1,35.0,61.3,0.0057,0.0243,0.0297,0.6667
인천,2019,2,21.0,41.0,0.005,0.04,0.022,0.4667
인천,2019,3,17.0,29.7,0.004,0.0317,0.017,0.4333
인천,2019,4,20.0,38.7,0.0047,0.0187,0.0283,0.6
인천,2020,1,23.7,40.0,0.0043,0.025,0.026,0.6
인천,2020,2,16.0,34.0,0.0037,0.0413,0.0167,0.4667
인천,2020,3,12.0,21.7,0.003,0.029,0.0137,0.3667
인천,2020,4,20.0,37.3,0.004,0.0223,0.025,0.5333
인천,2021,1,27.0,50.7,0.0037,0.0247,0.0263,0.6
인천,2021,2,20.7,45.7,0.003,0.042,0.0183,0.4
인천,2021,3,13.3,22.3,0.003,0.0363,0.014,0.4
인천,2021,4,21.0,37.0,0.0037,0.0217,0.0247,0.5667
인천,2022,1,24.7,40.7,0.004,0.0263,0.024,0.5333
인천,2022,2,16.7,32.3,0.003,0.0417,0.0147,0.3667
인천,2022,3,14.3,24.3,0.003,0.035,0.0127,0.4
인천,2022,4,20.3,36.3,0.0037,0.0227,0.023,0.5333
인천,2023,1,30.0,56.3,0.0036,0.0281,0.025,0.5633
인천,2023,2,21.0,46.3,0.0031,0.044,0.0158,0.4133
인천,2023,3,15.0,24.3,0.003,0.0352,0.0122,0.3867
인천,2023,4,20.0,34.7,0.0033,0.0258,0.0205,0.5133
인천,2024,1,24.3,41.3,0.0033,0.0288,0.0212,0.5233
인천,2024,2,19.0,37.3,0.0032,0.0447,0.0159,0.41
