연도_분기,지역,최고기온 (C),최저기온 (C),일 평균기온 (C),일 평균 풍속 (m/s),일강수량 (mm),최심 신적설 (cm),일 평균 상대습도 (%),일교차 (C)
2015-2분기,합천,24.7,11.7,17.9,1.3,3.4,0.0,62.8,13.0
2015-2분기,해남,23.0,12.7,17.4,2.3,4.8,0.0,75.2,10.4
2015-2분기,홍천,25.6,10.9,17.9,1.5,2.0,0.0,56.7,14.7
2015-2분기,흑산도,19.2,12.5,15.3,4.4,4.1,0.0,81.6,6.7
2015-3분기,강릉,27.1,19.9,23.3,1.9,3.9,0.0,69.2,7.2
2015-3분기,강진군,28.2,19.5,23.4,2.0,5.1,0.0,83.2,8.8
2015-3분기,강화,28.0,19.0,23.2,2.1,2.9,0.0,70.5,9.0
2015-3분기,거제,28.2,20.6,23.9,1.9,6.9,0.0,71.6,7.6
2015-3분기,거창,28.0,17.8,22.3,1.3,4.6,0.0,83.6,10.2
2015-3분기,경주시,28.7,18.9,21.7,1.9,5.4,0.0,77.6,9.9
2015-3분기,고산,25.2,18.1,20.7,3.9,5.2,0.0,87.1,7.1
2015-3분기,고산(제주),27.0,21.6,23.9,4.6,5.2,0.0,85.2,5.3
2015-3분기,고창,28.5,19.4,23.4,2.1,3.1,0.0,85.2,9.1
2015-3분기,고창군,29.0,19.6,23.7,1.5,3.7,0.0,79.0,9.4
2015-3분기,고흥,28.0,19.2,23.2,1.3,5.4,0.0,86.9,8.7
2015-3분기,광양시,29.5,21.4,24.9,2.0,4.7,0.0,77.8,8.1
2015-3분기,광주,29.2,20.8,24.5,1.6,4.1,0.0,78.8,8.4
2015-3분기,구미,29.1,19.4,23.7,1.2,3.6,0.0,80.5,9.7
2015-3분기,군산,28.4,20.2,23.8,2.0,2.3,0.0,87.4,8.2
2015-3분기,금산,28.8,18.0,22.8,1.2,2.9,0.0,77.6,10.8
2015-3분기,김해시,29.5,20.9,23.1,1.8,4.6,0.0,73.0,8.5
2015-3분기,남원,28.3,18.5,22.9,1.9,3.0,0.0,72.3,9.8
2015-3분기,남해,28.4,20.5,23.8,1.3,6.8,0.0,75.8,7.9
2015-3분기,대관령,22.7,13.6,17.7,2.6,5.5,0.0,84.2,9.1
2015-3분기,대구,28.9,19.9,23.9,2.0,5.4,0.0,74.4,9.0
2015-3분기,대전,29.5,20.4,24.5,1.6,2.3,0.0,75.1,9.0
2015-3분기,동두천,29.2,18.8,23.3,1.4,5.8,0.0,69.6,10.4
2015-3분기,동해,26.4,19.7,22.9,2.1,4.0,0.0,79.6,6.8
2015-3분기,목포,28.1,21.3,24.3,2.3,3.5,0.0,81.4,6.8
2015-3분기,문경,28.2,17.5,22.2,1.3,2.4,0.0,71.4,10.7
2015-3분기,밀양,29.2,19.7,23.9,1.2,4.9,0.0,76.8,9.6
2015-3분기,백령도,25.8,20.0,22.5,3.1,3.6,0.0,78.2,5.8
2015-3분기,보령,28.0,20.1,23.6,1.7,1.5,0.0,85.5,7.8
2015-3분기,보성군,28.7,20.2,24.0,2.2,4.3,0.0,73.9,8.5
2015-3분기,보은,28.5,17.6,22.3,1.2,3.1,0.0,78.4,10.9
2015-3분기,봉화,26.9,15.3,20.5,1.4,2.2,0.0,79.2,11.6
2015-3분기,부산,27.4,21.5,24.0,3.2,5.2,0.0,78.6,5.9
2015-3분기,부안,28.8,19.9,23.8,1.6,2.4,0.0,75.2,8.9
2015-3분기,부여,29.0,19.2,23.5,1.3,2.2,0.0,79.9,9.8
2015-3분기,북강릉,26.7,18.8,22.4,1.6,3.2,0.0,72.3,7.9
2015-3분기,북창원,28.6,20.0,23.7,1.2,4.9,0.0,79.9,8.6
2015-3분기,산청,28.1,18.6,22.6,1.2,7.7,0.0,77.0,9.6
2015-3분기,상주,29.5,19.1,23.7,1.0,2.5,0.0,71.4,10.4
2015-3분기,서귀포,27.3,22.1,24.4,2.3,9.2,0.0,81.4,5.1
2015-3분기,서산,28.3,19.2,23.3,1.9,2.6,0.0,85.0,9.1
2015-3분기,서울,29.6,21.0,24.9,2.5,3.5,0.0,65.8,8.6
2015-3분기,성산,27.3,21.3,24.1,3.0,9.7,0.0,83.1,5.9
2015-3분기,속초,25.8,18.6,22.0,1.9,4.1,0.0,82.7,7.1
2015-3분기,수원,29.8,20.5,24.6,1.8,3.3,0.0,74.0,9.2
2015-3분기,순창군,29.2,18.6,21.9,1.4,3.8,0.0,76.0,10.6
2015-3분기,순천,28.6,18.5,22.9,1.3,5.6,0.0,79.7,10.1
2015-3분기,안동,28.8,18.6,23.1,1.5,3.2,0.0,71.4,10.2
2015-3분기,양산시,29.1,20.5,24.2,2.6,5.8,0.0,72.0,8.6
2015-3분기,양평,29.5,19.4,23.8,1.4,3.6,0.0,72.7,10.1
2015-3분기,여수,26.8,21.7,23.9,3.8,4.7,0.0,68.9,5.1
2015-3분기,영광군,28.7,19.6,23.6,1.9,3.1,0.0,78.9,9.1
2015-3분기,영덕,27.9,18.7,22.7,2.7,3.2,0.0,76.0,9.2
2015-3분기,영월,28.8,18.0,22.6,1.3,3.2,0.0,78.8,10.8
2015-3분기,영주,28.9,17.5,22.5,1.7,2.7,0.0,77.6,11.3
2015-3분기,영천,28.9,18.7,23.3,1.5,4.3,0.0,75.3,10.2
2015-3분기,완도,27.8,20.4,23.7,2.4,5.4,0.0,86.7,7.3
2015-3분기,울릉도,25.0,19.8,22.0,3.8,3.6,0.0,78.3,5.2
2015-3분기,울산,28.2,20.7,24.0,2.3,5.0,0.0,78.3,7.5
2015-3분기,울진,25.7,18.5,22.0,2.4,3.1,0.0,81.7,7.2
2015-3분기,원주,29.6,20.0,24.4,1.4,3.6,0.0,70.8,9.6
2015-3분기,의령군,27.6,17.8,22.0,0.9,4.8,0.0,87.2,9.8
2015-3분기,의성,29.5,17.5,22.8,1.2,2.3,0.0,75.6,12.0
2015-3분기,이천,29.5,18.5,23.4,1.2,3.1,0.0,69.0,11.0
2015-3분기,인제,27.7,17.2,21.4,1.9,4.2,0.0,78.2,10.5
2015-3분기,인천,28.0,21.3,24.3,2.8,2.6,0.0,86.1,6.6
2015-3분기,임실,28.7,17.5,22.4,1.2,2.9,0.0,76.3,11.2
2015-3분기,장수,27.4,16.2,21.2,1.5,3.1,0.0,77.5,11.2
2015-3분기,장흥,28.4,19.1,23.4,1.4,4.8,0.0,84.2,9.3
2015-3분기,전주,29.0,20.3,24.2,1.6,2.3,0.0,78.3,8.7
2015-3분기,정선군,28.1,17.8,21.8,1.4,3.1,0.0,73.6,10.3
2015-3분기,정읍,29.8,20.2,24.4,1.4,3.2,0.0,80.4,9.5
2015-3분기,제주,28.0,22.7,25.1,2.8,8.2,0.0,77.4,5.3
2015-3분기,제천,28.2,16.8,20.5,1.3,3.5,0.0,73.2,11.4
2015-3분기,진도군,27.4,19.6,23.2,1.8,5.0,0.0,88.3,7.9
2015-3분기,진주,28.3,18.8,23.0,1.1,5.2,0.0,74.0,9.5
2015-3분기,창원,28.1,20.1,23.5,1.6,4.4,0.0,78.8,8.0
2015-3분기,천안,29.1,19.1,23.6,1.6,2.5,0.0,77.5,9.9
2015-3분기,철원,28.2,17.3,21.0,1.7,6.9,0.0,74.4,10.9
2015-3분기,청송군,28.1,16.8,21.6,1.0,3.2,0.0,80.3,11.3
2015-3분기,청주,29.2,20.4,24.4,1.7,2.3,0.0,62.8,8.8
2015-3분기,추풍령,27.5,17.3,22.0,1.9,2.8,0.0,76.1,10.2
2015-3분기,춘천,29.2,19.3,23.7,1.5,3.1,0.0,76.6,9.9
2015-3분기,충주,29.2,18.8,23.4,1.4,3.1,0.0,69.1,10.3
2015-3분기,태백,24.5,15.3,19.3,1.6,4.1,0.0,81.8,9.2
2015-3분기,통영,27.7,20.9,23.7,2.4,5.2,0.0,83.6,6.9
2015-3분기,파주,28.7,18.2,22.8,1.5,3.1,0.0,73.5,10.5
2015-3분기,포항,27.1,21.1,24.0,2.7,4.1,0.0,77.2,6.0
2015-3분기,함양군,29.5,18.3,20.4,0.7,3.7,0.0,78.4,11.3
2015-3분기,합천,29.2,18.7,23.3,1.3,5.0,0.0,74.0,10.5
2015-3분기,해남,28.1,19.1,20.6,1.8,4.9,0.0,87.2,9.0
2015-3분기,홍천,29.9,18.5,23.3,1.2,3.9,0.0,72.5,11.4
2015-3분기,흑산도,25.0,19.6,21.9,3.6,3.2,0.0,94.5,5.4
2015-4분기,강릉,14.3,6.7,10.3,2.4,4.1,0.0,56.6,7.5
2015-4분기,강진군,16.3,6.3,10.9,2.1,2.6,0.0,77.1,10.0
2015-4분기,강화,12.5,3.0,7.6,1.8,2.4,0.0,66.4,9.5
2015-4분기,거제,17.1,8.5,12.4,1.5,3.4,0.0,63.8,8.6
2015-4분기,거창,14.7,3.1,8.3,1.1,2.5,0.0,80.9,11.5
2015-4분기,경주시,15.9,4.8,7.6,2.1,1.8,0.0,70.4,11.1
2015-4분기,고산,13.5,6.2,9.1,4.8,2.8,0.0,82.8,7.3
2015-4분기,고산(제주),17.0,11.7,14.2,6.8,2.6,0.0,72.1,5.3
2015-4분기,고창,14.9,5.9,10.2,2.5,2.9,0.0,84.0,9.1
2015-4분기,고창군,15.2,6.1,10.4,1.4,3.1,0.0,79.6,9.1
2015-4분기,고흥,16.3,6.0,10.9,1.4,1.7,0.0,80.9,10.3
2015-4분기,광양시,17.1,8.7,12.5,1.9,1.9,0.0,71.2,8.4
2015-4분기,광주,15.9,7.5,11.3,1.2,3.0,0.2,75.2,8.4
2015-4분기,구미,14.8,5.3,9.7,1.2,1.9,0.0,76.7,9.5
2015-4분기,군산,14.3,6.4,10.1,1.7,3.2,0.0,82.4,8.0
2015-4분기,금산,14.2,3.3,8.1,1.0,2.6,0.0,76.9,10.9
2015-4분기,김해시,17.8,8.5,12.5,2.0,1.6,0.0,58.8,9.3
2015-4분기,남원,15.1,4.6,8.1,1.4,2.7,0.0,73.3,10.5
2015-4분기,남해,16.4,8.2,11.9,1.3,2.8,0.0,66.4,8.2
2015-4분기,대관령,8.7,-0.9,3.7,3.4,2.7,0.0,76.2,9.6
2015-4분기,대구,15.4,6.1,10.4,1.9,1.5,0.0,72.0,9.2
2015-4분기,대전,14.6,5.4,9.5,1.3,2.8,0.1,76.2,9.2
2015-4분기,동두천,13.7,2.7,7.5,1.4,2.4,0.0,66.4,11.0
2015-4분기,동해,14.9,7.5,11.2,2.2,3.1,0.0,61.1,7.4
2015-4분기,목포,15.9,8.7,12.0,3.0,2.8,0.0,75.3,7.2
2015-4분기,문경,13.0,3.2,7.7,1.7,2.5,0.0,64.7,9.8
2015-4분기,밀양,16.7,5.3,10.5,0.9,1.7,0.0,74.9,11.5
2015-4분기,백령도,11.7,7.1,9.1,3.8,1.4,0.0,69.6,4.6
2015-4분기,보령,14.5,6.2,10.1,1.4,3.4,0.0,80.3,8.3
2015-4분기,보성군,16.6,6.8,11.4,2.7,2.4,0.0,68.6,9.8
2015-4분기,보은,13.8,2.5,7.5,1.2,2.6,0.0,76.2,11.3
2015-4분기,봉화,12.8,0.4,6.1,1.3,1.5,0.0,73.3,12.4
2015-4분기,부산,17.6,9.9,13.2,2.8,2.6,0.0,64.1,7.7
2015-4분기,부안,14.9,6.1,10.2,1.4,3.3,0.0,75.7,8.7
2015-4분기,부여,14.6,4.1,8.8,1.0,3.2,0.0,82.2,10.5
2015-4분기,북강릉,13.8,5.8,9.7,1.8,4.6,0.0,59.2,8.0
2015-4분기,북창원,16.4,7.1,11.3,1.3,1.9,0.0,69.8,9.3
2015-4분기,산청,15.3,5.0,9.6,1.5,2.3,0.0,65.8,10.2
2015-4분기,상주,14.3,4.7,9.1,1.4,2.5,0.0,67.4,9.7
2015-4분기,서귀포,18.0,11.7,14.8,1.9,4.1,0.0,69.1,6.3
2015-4분기,서산,13.9,4.4,9.0,1.8,3.2,0.4,83.4,9.5
2015-4분기,서울,13.3,4.8,8.7,2.4,2.3,0.1,64.4,8.5
2015-4분기,성산,17.4,10.4,14.0,2.9,5.0,0.0,73.9,6.9
2015-4분기,속초,12.5,4.9,8.7,1.9,5.4,0.0,60.4,7.7
2015-4분기,수원,14.2,4.7,9.0,1.5,2.5,0.2,72.6,9.6
2015-4분기,순창군,14.8,3.9,8.7,1.3,3.3,0.0,82.8,10.9
2015-4분기,순천,15.5,4.7,9.6,1.6,2.9,0.0,74.2,10.9
2015-4분기,안동,14.1,3.5,8.3,1.4,1.7,0.0,70.1,10.6
2015-4분기,양산시,17.3,7.3,11.9,2.1,2.0,0.0,63.5,10.0
2015-4분기,양평,13.4,3.1,7.7,1.3,2.3,0.0,74.3,10.2
2015-4분기,여수,15.9,10.0,12.6,4.0,1.6,0.0,59.7,5.9
2015-4분기,영광군,15.2,5.9,10.2,2.2,3.1,0.0,76.7,9.3
2015-4분기,영덕,15.1,5.6,10.0,2.9,2.9,0.0,63.9,9.5
2015-4분기,영월,13.3,3.1,6.5,1.1,1.8,0.0,76.1,10.2
2015-4분기,영주,13.4,2.6,7.8,2.4,2.1,0.0,72.3,10.8
2015-4분기,영천,15.5,4.1,9.5,1.7,1.7,0.0,70.4,11.4
2015-4분기,완도,16.0,8.8,10.9,2.5,2.8,0.0,80.4,7.2
2015-4분기,울릉도,13.3,8.2,10.4,3.9,6.2,0.2,67.0,5.1
2015-4분기,울산,16.8,7.8,11.9,2.0,2.1,0.0,65.4,9.0
2015-4분기,울진,14.9,5.8,10.3,2.7,3.0,0.0,65.7,9.1
2015-4분기,원주,13.1,4.4,8.5,0.9,2.1,0.0,72.0,8.8
2015-4분기,의령군,16.3,3.9,9.1,1.0,2.1,0.0,78.6,12.4
2015-4분기,의성,14.8,1.7,7.5,1.0,1.5,0.0,75.4,13.1
2015-4분기,이천,13.1,2.2,7.2,1.1,2.7,0.0,70.0,10.9
2015-4분기,인제,12.0,1.7,6.2,1.7,2.0,0.0,75.0,10.2
2015-4분기,인천,12.6,6.2,9.2,3.2,2.5,0.1,78.2,6.4
2015-4분기,임실,14.3,3.1,8.2,1.0,3.1,0.0,78.6,11.2
2015-4분기,장수,13.8,2.3,7.4,1.4,3.9,0.0,78.5,11.5
2015-4분기,장흥,16.1,5.5,10.5,1.6,2.3,0.0,78.2,10.6
2015-4분기,전주,14.8,6.7,10.5,1.5,2.8,0.3,77.6,8.2
2015-4분기,정선군,12.4,2.5,6.8,1.5,2.2,0.0,68.5,9.8
2015-4분기,정읍,15.3,6.4,10.4,1.2,3.4,0.0,84.0,8.9
2015-4분기,제주,17.6,12.2,14.8,3.3,3.2,0.0,68.7,5.4
2015-4분기,제천,12.5,0.8,6.3,1.3,2.2,0.0,74.7,11.6
2015-4분기,진도군,15.8,7.4,11.7,2.3,2.5,0.0,76.1,8.4
2015-4분기,진주,16.3,4.4,9.9,0.9,2.5,0.0,70.3,11.9
2015-4분기,창원,15.8,7.5,11.2,1.5,1.8,0.0,65.5,8.3
2015-4분기,천안,14.0,4.1,8.7,1.6,2.6,0.0,77.8,9.9
2015-4분기,철원,11.9,0.7,5.9,1.4,2.2,0.0,73.1,11.2
2015-4분기,청송군,13.9,1.8,7.2,1.1,1.7,0.0,76.1,12.1
2015-4분기,청주,13.5,5.2,9.1,1.3,2.6,0.1,65.5,8.3
2015-4분기,추풍령,12.9,3.4,8.0,2.5,2.7,0.0,71.8,9.5
2015-4분기,춘천,12.4,2.8,7.2,1.2,2.4,0.1,77.4,9.6
2015-4분기,충주,13.3,2.9,7.7,1.3,2.0,0.0,70.4,10.5
2015-4분기,태백,10.5,0.8,5.3,1.4,2.5,0.0,70.4,9.7
2015-4분기,통영,17.1,9.1,12.7,2.2,2.4,0.0,71.7,8.1
2015-4분기,파주,12.9,1.6,6.7,1.4,2.2,0.0,70.2,11.3
2015-4분기,포항,15.7,8.4,11.8,2.5,2.2,0.0,64.5,7.3
2015-4분기,함양군,15.3,3.7,8.8,1.1,2.7,0.0,81.5,11.7
2015-4분기,합천,16.0,4.2,9.3,1.0,2.0,0.0,72.3,11.8
2015-4분기,해남,16.0,5.1,10.4,1.8,2.1,0.0,81.1,10.8
2015-4분기,홍성,10.0,1.9,5.7,1.3,3.8,0.0,84.5,8.1
2015-4분기,홍천,13.0,2.2,6.9,0.9,1.9,0.0,73.2,10.8
2015-4분기,흑산도,14.5,10.0,12.0,5.1,3.4,0.0,80.9,4.5
2016-1분기,강릉,7.7,-0.3,3.5,2.8,1.2,0.0,44.1,8.0
2016-1분기,강진군,9.2,-0.8,3.9,2.7,2.3,0.0,68.5,10.0
2016-1분기,강화,5.5,-4.8,0.5,2.1,1.0,0.0,54.9,10.3
2016-1분기,거제,10.5,1.6,5.8,1.9,3.4,0.0,51.0,8.8
2016-1분기,거창,8.8,-3.6,2.2,1.5,1.3,0.0,61.1,12.4
2016-1분기,경주시,9.2,-1.8,0.1,2.9,1.3,0.0,52.2,11.0
2016-1분기,고산,6.3,-1.4,1.8,5.0,1.9,0.0,78.6,7.6
2016-1분기,고산(제주),9.9,5.0,7.3,8.3,2.6,0.0,69.2,4.9
2016-1분기,고창,7.8,-1.3,3.1,3.0,1.1,0.0,76.9,9.2
2016-1분기,고창군,8.4,-1.3,3.4,1.8,1.1,0.0,67.9,9.8
2016-1분기,고흥,9.4,-1.0,4.1,1.9,2.2,0.0,69.1,10.4
2016-1분기,광양시,10.2,1.2,5.2,2.3,2.3,0.0,63.5,9.1
2016-1분기,광주,9.3,0.1,4.2,1.7,1.6,0.7,62.9,9.2
2016-1분기,구미,8.9,-1.6,3.5,1.5,1.0,0.0,57.2,10.5
2016-1분기,군산,7.3,-1.6,2.8,2.2,1.2,0.0,75.1,8.9
2016-1분기,금산,7.6,-4.4,1.3,1.3,1.2,0.0,63.9,12.0
2016-1분기,김해시,11.1,1.5,5.8,2.4,2.1,0.0,48.3,9.5
2016-1분기,남원,8.5,-3.0,2.3,1.7,1.7,0.0,61.3,11.5
2016-1분기,남해,10.2,0.8,5.2,1.3,3.3,0.0,54.3,9.3
2016-1분기,대관령,2.1,-8.3,-3.1,4.2,0.7,0.0,61.6,10.3
2016-1분기,대구,9.1,-0.8,3.9,2.3,1.2,0.1,55.1,9.8
2016-1분기,대전,8.3,-2.4,2.6,1.5,1.1,0.2,62.6,10.6
2016-1분기,동두천,7.7,-5.0,0.7,1.8,1.1,0.0,51.3,12.7
2016-1분기,동해,8.7,0.8,4.7,2.3,1.0,0.0,49.4,7.9
2016-1분기,목포,8.3,0.9,4.3,3.8,1.9,0.6,70.7,7.4
2016-1분기,문경,6.9,-3.4,1.6,2.3,1.0,0.0,46.6,10.3
2016-1분기,밀양,10.7,-1.5,3.1,1.2,1.8,0.0,57.4,12.2
2016-1분기,백령도,3.8,-1.0,1.2,4.3,1.2,0.2,61.4,4.8
2016-1분기,보령,7.1,-1.6,2.6,1.6,0.9,0.0,70.7,8.7
2016-1분기,보성군,9.9,-0.4,4.5,3.5,2.6,0.0,60.3,10.3
2016-1분기,보은,7.4,-5.2,0.8,1.5,1.0,0.0,60.7,12.5
2016-1분기,봉화,6.4,-7.2,-0.6,1.6,1.0,0.0,56.0,13.6
2016-1분기,부산,10.8,2.5,6.2,3.5,2.8,0.0,52.9,8.3
2016-1분기,부안,7.7,-1.7,2.8,1.7,1.6,0.0,68.1,9.4
2016-1분기,부여,8.0,-3.5,1.9,1.3,0.9,0.0,70.1,11.5
2016-1분기,북강릉,7.2,-1.4,3.0,2.0,1.1,0.7,53.1,8.6
2016-1분기,북창원,9.9,0.3,4.8,1.7,1.9,0.0,55.8,9.6
2016-1분기,산청,9.2,-1.5,3.6,2.3,1.7,0.0,47.9,10.7
2016-1분기,상주,8.1,-1.8,2.9,2.2,1.1,0.0,50.2,10.0
2016-1분기,서귀포,11.6,5.1,8.2,1.7,3.9,0.0,65.0,6.5
2016-1분기,서산,6.6,-3.5,1.6,2.2,1.2,0.5,75.7,10.1
2016-1분기,서울,6.3,-2.8,1.4,2.6,1.0,0.1,52.0,9.1
2016-1분기,성산,10.8,3.6,7.2,3.3,5.2,0.0,67.7,7.2
2016-1분기,속초,6.2,-2.0,2.2,2.1,0.8,0.0,51.8,8.1
2016-1분기,수원,7.4,-2.9,2.0,1.8,1.2,0.1,58.6,10.3
2016-1분기,순창군,7.8,-3.8,1.7,1.8,1.8,0.0,67.9,11.7
2016-1분기,순천,9.3,-1.7,3.5,2.3,2.8,0.0,58.8,11.0
2016-1분기,안동,8.0,-3.9,1.9,1.9,0.9,0.0,52.8,11.9
2016-1분기,양산시,10.6,0.3,5.2,2.3,2.4,0.0,51.9,10.4
2016-1분기,양평,7.0,-4.8,0.9,1.5,0.5,0.0,58.3,11.7
2016-1분기,여수,9.1,2.2,5.3,4.5,2.2,0.0,51.2,7.0
2016-1분기,영광군,7.5,-1.9,2.6,2.6,1.8,0.0,69.0,9.4
2016-1분기,영덕,8.7,-1.1,3.6,3.2,0.6,0.0,47.6,9.8
2016-1분기,영월,7.2,-4.7,1.1,1.3,0.9,0.0,58.4,11.9
2016-1분기,영주,6.6,-4.2,1.3,3.5,1.0,0.0,51.9,10.8
2016-1분기,영천,9.4,-2.6,3.1,2.2,1.3,0.0,54.8,12.0
2016-1분기,완도,9.4,1.7,5.3,2.8,2.3,0.0,71.0,7.7
2016-1분기,울릉도,6.3,0.9,3.4,4.1,3.5,3.2,63.3,5.4
2016-1분기,울산,10.4,0.9,5.3,2.3,1.9,0.0,51.8,9.6
2016-1분기,울진,8.4,-1.2,3.5,2.9,0.9,0.0,53.0,9.6
2016-1분기,원주,7.0,-3.0,1.8,1.1,0.9,0.0,54.8,10.0
2016-1분기,의령군,11.0,-2.8,3.4,1.5,2.1,0.0,61.0,13.8
2016-1분기,의성,9.1,-6.0,1.0,1.4,0.8,0.0,57.8,15.1
2016-1분기,이천,7.1,-5.1,0.8,1.5,1.3,0.0,53.6,12.2
2016-1분기,인제,5.4,-6.3,-0.5,1.9,0.9,0.0,59.1,11.6
2016-1분기,인천,5.4,-1.5,1.7,3.5,1.0,0.1,67.8,6.9
2016-1분기,임실,7.6,-4.9,0.9,1.4,1.5,0.0,68.3,12.5
2016-1분기,장수,6.8,-5.3,0.5,1.9,1.7,0.0,68.2,12.1
2016-1분기,장흥,9.4,-1.6,3.8,2.3,2.1,0.0,68.6,11.0
2016-1분기,전주,8.2,-0.9,3.3,2.0,1.4,0.4,65.6,9.1
2016-1분기,정선군,5.9,-5.3,-0.0,2.0,1.1,0.0,53.1,11.3
2016-1분기,정읍,8.3,-1.3,3.2,1.4,1.9,0.0,71.3,9.7
2016-1분기,제주,11.1,5.4,8.1,3.8,2.9,0.2,63.0,5.6
2016-1분기,제천,5.9,-7.3,-0.7,1.6,1.0,0.0,60.5,13.2
2016-1분기,진도군,8.4,0.4,4.6,3.0,2.3,0.0,74.9,8.0
2016-1분기,진주,10.0,-2.4,3.4,1.2,2.6,0.0,55.7,12.5
2016-1분기,창원,9.4,0.4,4.6,1.8,2.1,0.0,51.9,9.0
2016-1분기,천안,7.3,-3.8,1.6,2.0,0.7,0.0,66.2,11.1
2016-1분기,철원,5.3,-7.8,-1.1,1.5,1.1,0.0,55.6,13.1
2016-1분기,청송군,7.8,-5.5,0.8,1.7,0.8,0.0,54.2,13.3
2016-1분기,청주,7.1,-2.2,2.2,1.4,0.7,0.2,51.6,9.3
2016-1분기,추풍령,6.6,-3.5,1.4,3.2,1.2,0.0,55.1,10.1
2016-1분기,춘천,6.3,-5.8,0.0,1.3,1.2,0.1,61.4,12.1
2016-1분기,충주,7.2,-4.7,1.0,1.5,0.7,0.0,54.7,11.9
2016-1분기,태백,4.0,-6.4,-1.4,1.6,0.8,0.0,61.9,10.4
2016-1분기,통영,10.1,1.8,5.7,2.6,3.3,0.0,58.5,8.3
2016-1분기,파주,6.4,-6.5,-0.3,1.6,1.4,0.0,57.2,12.8
2016-1분기,포항,9.4,1.0,5.0,2.7,1.4,0.0,50.3,8.4
2016-1분기,함양군,9.5,-2.3,3.4,1.8,1.3,0.0,61.5,11.7
2016-1분기,합천,10.0,-2.9,3.0,1.2,1.6,0.0,57.2,12.9
2016-1분기,해남,8.6,-2.1,3.2,2.2,1.9,0.0,73.4,10.7
2016-1분기,홍성,7.0,-3.6,1.7,1.8,0.9,0.0,69.4,10.6
2016-1분기,홍천,6.9,-5.9,0.0,1.1,0.8,0.0,54.5,12.8
2016-1분기,흑산도,7.8,2.3,4.7,5.9,1.1,0.2,72.7,5.5
2016-2분기,강릉,23.4,13.9,18.4,2.3,1.6,0.0,55.5,9.4
2016-2분기,강진군,23.6,13.5,18.2,2.4,6.0,0.0,75.5,10.1
2016-2분기,강화,22.4,11.9,16.9,2.4,3.3,0.0,64.5,10.5
2016-2분기,거제,23.6,14.5,17.4,1.9,6.6,0.0,71.3,9.2
2016-2분기,거창,24.4,11.4,17.6,1.4,3.1,0.0,68.4,13.0
2016-2분기,경주시,24.8,12.5,18.3,2.5,2.8,0.0,66.8,12.3
2016-2분기,고산,20.9,12.4,15.8,4.7,5.6,0.0,77.8,8.5
2016-2분기,고산(제주),20.9,15.0,17.6,5.1,5.3,0.0,85.3,5.9
2016-2분기,고창,24.2,13.3,18.2,2.7,3.9,0.0,80.6,10.9
2016-2분기,고창군,24.8,13.1,18.4,1.8,4.2,0.0,72.4,11.7
2016-2분기,고흥,23.0,12.9,17.8,1.4,5.6,0.0,82.4,10.1
2016-2분기,광양시,24.1,15.0,19.2,1.7,5.5,0.0,74.9,9.1
2016-2분기,광주,25.1,14.8,19.4,1.7,4.5,0.0,70.2,10.4
2016-2분기,구미,25.5,13.5,19.4,1.3,2.8,0.0,66.7,12.0
2016-2분기,군산,23.2,13.5,17.8,2.2,3.4,0.0,83.5,9.7
2016-2분기,금산,25.1,11.4,18.0,1.4,3.6,0.0,65.1,13.6
2016-2분기,김해시,25.1,15.1,19.5,2.1,4.6,0.0,68.4,10.0
2016-2분기,남원,24.7,12.6,18.4,2.0,3.7,0.0,63.8,12.2
2016-2분기,남해,24.1,14.4,18.8,1.3,8.5,0.0,66.0,9.7
2016-2분기,대관령,20.0,6.9,13.4,3.6,2.1,0.0,66.7,13.0
2016-2분기,대구,25.3,14.1,19.5,2.3,2.9,0.0,62.2,11.3
2016-2분기,대전,25.5,13.9,19.4,1.7,3.3,0.0,65.4,11.7
2016-2분기,동두천,25.9,12.3,18.3,1.9,2.9,0.0,58.6,13.7
2016-2분기,동해,22.1,14.0,17.7,2.0,1.2,0.0,68.7,8.2
2016-2분기,목포,22.6,14.6,18.2,2.8,4.9,0.0,85.9,8.0
2016-2분기,문경,24.4,11.4,16.4,1.9,3.2,0.0,54.5,13.0
2016-2분기,밀양,25.8,13.4,19.3,1.2,4.3,0.0,65.9,12.4
2016-2분기,백령도,19.3,12.4,15.4,4.2,2.4,0.0,72.3,6.9
2016-2분기,보령,22.7,12.9,17.3,1.6,3.0,0.0,81.0,9.9
2016-2분기,보성군,23.8,13.7,18.6,2.6,5.9,0.0,69.0,10.1
2016-2분기,보은,25.1,11.2,17.9,1.5,3.1,0.0,62.3,13.9
2016-2분기,봉화,23.6,8.7,16.1,1.6,2.5,0.0,59.4,14.9
2016-2분기,부산,22.7,15.7,18.8,3.1,4.6,0.0,69.8,7.0
2016-2분기,부안,23.9,13.3,17.9,2.0,3.5,0.0,70.8,10.6
2016-2분기,부여,25.2,12.3,18.3,1.4,3.7,0.0,73.2,12.9
2016-2분기,북강릉,22.4,12.9,17.5,1.8,1.9,0.0,65.3,9.5
2016-2분기,북창원,24.6,14.1,18.9,1.3,6.2,0.0,69.4,10.4
2016-2분기,산청,24.5,12.7,18.2,1.8,4.6,0.0,64.2,11.9
2016-2분기,상주,26.2,13.3,19.4,1.5,2.9,0.0,57.5,12.9
2016-2분기,서귀포,21.9,16.1,18.8,1.6,8.0,0.0,79.5,5.8
