연도_분기,지역,최고기온 (C),최저기온 (C),일 평균기온 (C),일 평균 풍속 (m/s),일강수량 (mm),최심 신적설 (cm),일 평균 상대습도 (%),일교차 (C)
2012-1분기,의성,7.4,-7.3,-0.2,1.5,0.7,0.0,58.9,14.7
2012-1분기,이천,5.6,-6.4,-0.6,1.5,0.7,0.0,55.4,12.0
2012-1분기,인제,3.9,-7.9,-2.2,1.9,0.4,0.0,56.4,11.8
2012-1분기,인천,4.8,-2.6,0.8,3.7,0.3,0.1,52.9,7.4
2012-1분기,임실,5.4,-6.5,-0.8,1.5,1.1,0.0,63.7,11.8
2012-1분기,장수,4.8,-6.6,-1.0,2.0,1.5,0.0,67.2,11.4
2012-1분기,장흥,7.9,-2.2,2.7,2.7,2.4,0.0,62.9,10.1
2012-1분기,전주,6.6,-2.9,1.6,1.8,1.1,0.2,59.7,9.5
2012-1분기,정선군,4.1,-6.5,-1.5,2.1,0.2,0.0,56.9,10.6
2012-1분기,정읍,6.3,-3.2,1.3,1.4,1.3,0.0,63.4,9.5
2012-1분기,제주,9.0,3.9,6.4,4.1,3.4,0.2,61.6,5.0
2012-1분기,제천,4.3,-8.4,-2.2,1.7,1.1,0.0,56.2,12.7
2012-1분기,진주,8.3,-3.6,2.3,1.3,1.7,0.0,55.8,11.9
2012-1분기,창원,8.4,0.5,4.1,2.1,1.3,0.0,48.0,7.9
2012-1분기,천안,5.5,-5.1,0.1,2.2,0.7,0.2,60.8,10.6
2012-1분기,철원,3.7,-9.6,-3.0,1.8,0.5,0.2,57.4,13.2
2012-1분기,청송군,5.7,-6.5,-0.5,1.7,0.6,0.1,61.3,12.2
2012-1분기,청주,5.7,-3.3,0.9,1.4,1.0,0.3,56.6,9.0
2012-1분기,추풍령,5.0,-4.3,0.3,3.4,1.3,0.0,59.5,9.3
2012-1분기,춘천,4.8,-7.5,-1.6,1.4,0.5,0.1,58.5,12.3
2012-1분기,충주,5.5,-5.5,-0.2,1.7,0.9,0.0,57.7,11.0
2012-1분기,태백,2.0,-7.4,-2.9,1.8,1.1,0.0,56.9,9.4
2012-1분기,통영,8.1,0.6,4.1,2.9,1.9,0.0,56.6,7.6
2012-1분기,파주,5.2,-7.9,-1.6,1.7,0.4,0.0,57.3,13.1
2012-1분기,포항,8.3,0.5,4.2,2.3,2.1,0.0,54.9,7.8
2012-1분기,함양군,7.2,-3.9,1.5,1.9,1.4,0.1,64.3,11.1
2012-1분기,합천,8.7,-3.7,2.1,1.4,1.3,0.0,55.9,12.4
2012-1분기,해남,7.3,-2.5,2.3,2.2,2.3,0.0,68.9,9.7
2012-1분기,해남군,8.0,-3.2,1.9,1.7,2.0,0.0,64.4,11.2
2012-1분기,홍천,5.5,-7.5,-1.4,1.2,0.5,0.0,54.6,13.0
2012-1분기,흑산도,5.7,1.7,3.6,6.1,1.8,0.1,68.6,4.0
2012-2분기,강릉,21.4,13.3,17.1,2.1,2.3,0.0,63.1,8.2
2012-2분기,강진군,23.0,12.7,17.6,3.0,3.1,0.0,68.4,10.2
2012-2분기,강화,22.2,11.6,16.6,2.4,2.3,0.0,67.6,10.6
2012-2분기,거제,22.7,14.0,18.0,2.2,4.6,0.0,65.6,8.7
2012-2분기,거창,23.3,10.9,16.9,1.9,2.5,0.0,67.3,12.4
2012-2분기,경주시,23.6,11.6,17.2,2.7,2.6,0.0,64.7,12.0
2012-2분기,고산,21.2,11.9,15.6,5.2,4.1,0.0,71.8,9.3
2012-2분기,고산(제주),21.7,15.3,18.1,4.9,3.8,0.0,79.6,6.4
2012-2분기,고창,24.4,12.7,18.0,2.8,1.8,0.0,73.1,11.7
2012-2분기,고창군,24.9,12.9,18.4,1.9,2.0,0.0,63.7,12.1
2012-2분기,고흥,22.2,12.8,16.5,1.9,3.9,0.0,67.1,9.4
2012-2분기,광양시,23.9,14.9,19.0,2.1,3.1,0.0,65.1,9.0
2012-2분기,광주,25.2,14.0,19.0,2.1,2.3,0.0,63.0,11.2
2012-2분기,구미,24.6,12.6,18.4,1.8,2.5,0.0,59.5,12.1
2012-2분기,군산,22.7,12.9,17.2,2.4,2.2,0.0,72.7,9.7
2012-2분기,금산,24.6,10.8,17.5,1.5,2.3,0.0,60.4,13.7
2012-2분기,김해시,24.2,15.0,19.1,2.3,3.5,0.0,60.3,9.2
2012-2분기,남원,24.7,11.3,17.8,1.7,2.1,0.0,65.4,13.3
2012-2분기,남해,23.5,14.0,18.3,1.5,4.6,0.0,63.7,9.5
2012-2분기,대관령,17.6,7.0,12.1,3.2,3.2,0.1,72.7,10.6
2012-2분기,대구,25.3,14.6,19.5,2.4,2.3,0.0,54.7,10.7
2012-2분기,대전,24.9,13.5,18.9,2.1,1.6,0.0,58.6,11.3
2012-2분기,동두천,24.8,11.8,17.6,1.8,3.2,0.0,58.2,13.0
2012-2분기,동해,20.0,12.6,16.0,2.4,1.8,0.0,70.1,7.3
