관측시각 (KST),국내 지점번호,최고기온 (C),최저기온 (C),일 평균기온 (C),일 평균 풍속 (m/s),일강수량 (mm),최심 신적설 (cm),일 평균 상대습도 (%),일교차 (C)
20200101,속초,4.8,-3.4,0.8,2.4,-9,-9,36.1,8.2
20200101,북춘천,0.3,-9.6,-5.1,0.7,0.1,0.3,76.4,9.9
20200101,철원,0.7,-9,-4.1,0.7,0,-9,78.4,9.7
20200101,동두천,0.3,-8,-3.8,0.7,0.1,-9,76.6,8.3
20200101,파주,0.6,-7.5,-4,0.7,0.1,-9,79.1,8.1
20200101,대관령,-2.5,-11.5,-6.5,5,-9,-9,74.8,9
20200101,춘천,1.3,-9.3,-4.3,0.8,0,-9,73.4,10.6
20200101,백령도,3.6,1.4,2.1,3.5,0,-9,74,2.2
20200101,북강릉,6.9,-5.6,0.1,1.8,-9,-9,41.1,12.5
20200101,강릉,6.4,-3,1.7,4.6,-9,-9,42.5,9.4
20200101,동해,6.1,-2.6,1.7,2.9,-9,-9,36.8,8.7
20200101,서울,0.3,-6.5,-2.2,0.6,0.1,0,64.4,6.8
20200101,인천,1.9,-5.4,-1.4,1.7,0,-9,66.6,7.3
20200101,원주,0.3,-7.1,-3.1,0.6,0,-9,69.9,7.4
20200101,울릉도,3.8,-0.6,2.1,1.8,-9,-9,56.4,4.4
20200101,수원,0.3,-6.3,-2.2,1.2,0,-9,79.3,6.6
20200101,영월,1.9,-9.5,-3.2,0.8,0,-9,73.9,11.4
20200101,충주,-1.7,-9.7,-3.8,0.2,-9,-9,67.3,8
20200101,서산,5.2,-7.1,-0.3,1.1,0.2,-9,76.8,12.3
20200101,울진,7.2,-4,1.4,3.4,-9,-9,44.6,11.2
20200101,청주,1.5,-7,-2.1,0.6,0,-9,72.4,8.5
20200101,대전,5.1,-7.7,-0.6,0.9,0,-9,65.8,12.8
20200101,추풍령,2.9,-8.2,-1.3,3.2,-9,-9,57.4,11.1
20200101,안동,3.7,-8.7,-2.6,2.1,-9,-9,60,12.4
20200101,상주,4,-7.6,-0.9,2.5,-9,-9,64.3,11.6
20200101,포항,5.9,-4.5,0.8,3.2,-9,-9,53.4,10.4
20200101,군산,5.2,-7,-0.3,1,-9,-9,67.5,12.2
20200101,대구,4.6,-4.9,0.2,3,-9,-9,53.3,9.5
20200101,전주,4.3,-6.4,-0.5,1.2,-9,-9,62.3,10.7
20200101,울산,6.4,-3.9,1.3,3,-9,-9,50.4,10.3
20200101,창원,4.9,-4.7,0.3,2.1,-9,-9,45.4,9.6
20200101,광주,5.7,-4.9,-0.3,1.5,-9,-9,58,10.6
20200101,부산,7.8,-3.2,1.9,2.3,-9,-9,44,11
20200101,통영,6.6,-3.5,1.3,2.1,-9,-9,50.9,10.1
20200101,목포,3.2,-4.5,-0.3,2.2,-9,-9,62.6,7.7
20200101,여수,6.4,-4.1,1.2,4.4,-9,-9,51.1,10.5
20200101,흑산도,6.4,1.2,4.5,5,-9,-9,64,5.2
20200101,완도,5.8,-2.7,1.9,2.2,-9,-9,62.8,8.5
20200101,고창,5.1,-5.1,-0.4,1.9,-9,-9,70.1,10.2
20200101,순천,3.8,-6.1,-0.3,4.1,-9,-9,59.4,9.9
20200101,홍성,4.6,-7.2,-0.7,1,0,-9,76.4,11.8
20200101,제주,7.3,2.4,5.2,2.5,-9,-9,62.9,4.9
20200101,고산(제주),6.9,2.5,5.2,6.5,-9,-9,68.8,4.4
20200101,성산,6.4,0.9,4.1,2.5,-9,-9,62.9,5.5
20200101,서귀포,9.6,4.8,7,1.1,-9,-9,75,4.8
20200101,진주,6.9,-8.2,-1.6,0.5,-9,-9,56.1,15.1
20200101,강화,2.3,-6.5,-1.9,1.1,-9,-9,72,8.8
20200101,양평,-1.3,-7.2,-3.8,0.8,0.1,-9,74.3,5.9
20200101,이천,-2,-7.9,-4.2,0.5,-9,-9,76.8,5.9
20200101,인제,1.4,-7.7,-3.8,2.5,0,-9,67,9.1
20200101,홍천,0.2,-9.7,-4.5,1.1,0,-9,71,9.9
20200101,태백,-0.6,-8.4,-4.9,1.6,-9,-9,63.3,7.8
20200101,정선군,1.2,-9.5,-3.9,2.2,-9,-9,74.5,10.7
20200101,제천,-0.7,-10.5,-4.3,1.3,0.2,-9,79.1,9.8
20200101,보은,3.4,-9.9,-1.9,0.8,-9,-9,74.8,13.3
20200101,천안,1.2,-9.2,-2.4,1.1,-9,-9,80.6,10.4
20200101,보령,5.4,-5,0.3,0.7,-9,-9,68.1,10.4
20200101,부여,4.1,-8.6,-2.2,0.5,-9,-9,75.3,12.7
20200101,금산,3.8,-10.1,-2.6,0.8,-9,-9,71.1,13.9
20200101,세종,4,-8.6,-1.6,0.8,-9,-9,65,12.6
20200101,부안,4.7,-6.2,-0.6,0.7,-9,-9,73,10.9
20200101,임실,2.6,-9.3,-3.1,0.6,-9,-9,74.1,11.9
20200101,정읍,3.8,-7.1,-1.3,0.7,-9,-9,71.4,10.9
20200101,남원,3.5,-9.3,-2.5,1.1,-9,-9,69.1,12.8
20200101,장수,1.6,-10.6,-4,1.6,-9,-9,76.5,12.2
20200101,고창군,4.3,-5.6,-0.8,1,-9,-9,65.9,9.9
20200101,영광군,4.5,-5.2,-0.7,0.8,-9,-9,69,9.7
20200101,김해시,7.3,-3.5,1.5,3,-9,-9,48.9,10.8
20200101,순창군,3.4,-9,-3,1.3,-9,-9,75,12.4
20200101,북창원,3.7,-7.3,-1.2,1.3,-9,-9,45.8,11
20200101,양산시,7.8,-2.9,2.4,2.1,-9,-9,46,10.7
20200101,보성군,6.3,-4.2,1.3,4.5,-9,-9,60.3,10.5
20200101,강진군,5.5,-4.5,0.7,2.7,-9,-9,61.5,10
20200101,장흥,5.6,-3.7,0.5,2.5,-9,-9,63.6,9.3
20200101,해남,4.9,-6.1,-1.5,1.6,-9,-9,70,11
20200101,고흥,5.5,-6.6,0,2.1,-9,-9,59.4,12.1
20200101,의령군,6.8,-8.8,-1.9,0.7,-9,-9,66,15.6
20200101,함양군,5,-8.8,0,2.9,-9,-9,54.4,13.8
20200101,광양시,6.7,-5.4,0.5,1.6,-9,-9,44.8,12.1
20200101,진도군,5.6,-4.9,0.6,2,-9,-9,70.5,10.5
20200101,봉화,2.2,-6.8,-0.7,3.4,-9,-9,60.9,9
20200101,영주,1.7,-7.2,-1,5.2,-9,-9,61,8.9
20200101,문경,2.1,-8.7,-0.6,2.8,-9,-9,64.3,10.8
20200101,청송군,3.2,-9.3,-2.6,2.7,-9,-9,72.3,12.5
20200101,영덕,5.8,-5.7,0.2,3.8,-9,-9,50.3,11.5
20200101,의성,4.2,-11.5,-3.9,1.2,-9,-9,68.5,15.7
